# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.002           	5.58826498e+02	1.87369059e-13	-4.55223023e-01	1.45671367e-02	1.85122144e-01	1.78824479e+01	2.79427816e+02	2.79398682e+02	1.78824479e+01	-1.78824479e+01	-4.24893672e-02	-4.12733656e-01
0.003           	7.95369511e+00	-3.11916959e-16	2.08532885e-02	-6.67305233e-04	-4.51182870e-02	2.54518243e-01	3.97618025e+00	3.97751486e+00	2.54518243e-01	-2.54518243e-01	-3.46916427e-02	5.55449313e-02
0.004           	7.28506640e+00	-1.01891244e-16	2.47013831e-03	-7.90444258e-05	-2.97305840e-02	2.33122125e-01	3.64245416e+00	3.64261224e+00	2.33122125e-01	-2.33122125e-01	-2.84955148e-02	3.09656531e-02
0.005           	6.87476567e+00	-9.83577913e-17	1.40381484e-03	-4.49220747e-05	-2.40638839e-02	2.19992501e-01	3.43733791e+00	3.43742776e+00	2.19992501e-01	-2.19992501e-01	-2.33619765e-02	2.47657913e-02
0.006           	6.58695227e+00	-1.05009499e-16	1.83243585e-03	-5.86379472e-05	-2.00116388e-02	2.10782473e-01	3.29341750e+00	3.29353478e+00	2.10782473e-01	-2.10782473e-01	-1.90954209e-02	2.09278568e-02
0.007           	6.33120317e+00	-1.13766259e-16	2.02769892e-03	-6.48863655e-05	-1.65675454e-02	2.02598501e-01	3.16553670e+00	3.16566647e+00	2.02598501e-01	-2.02598501e-01	-1.55536960e-02	1.75813949e-02
0.008           	6.09246878e+00	-1.23255667e-16	-6.04657809e-04	1.93490499e-05	-1.23099105e-02	1.94959001e-01	3.04625374e+00	3.04621504e+00	1.94959001e-01	-1.94959001e-01	-1.26122394e-02	1.20075816e-02
0.009           	5.87872673e+00	-1.33189216e-16	1.38025194e-03	-4.41680620e-05	-1.08559351e-02	1.88119255e-01	2.93931919e+00	2.93940753e+00	1.88119255e-01	-1.88119255e-01	-1.01658091e-02	1.15460610e-02
0.01            	5.68618450e+00	-1.42853407e-16	-5.64087863e-04	1.80508116e-05	-7.84581646e-03	1.81957904e-01	2.84311030e+00	2.84307420e+00	1.81957904e-01	-1.81957904e-01	-8.12786039e-03	7.56377253e-03
0.011           	5.50991369e+00	-1.51763115e-16	-4.12833485e-03	1.32106715e-04	-4.36519172e-03	1.76317238e-01	2.75508895e+00	2.75482474e+00	1.76317238e-01	-1.76317238e-01	-6.42935914e-03	2.30102429e-03
