# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.001           	6.90401407e+02	2.18847209e-12	-1.10572422e+00	-7.91869373e-13	-4.92958731e-02	-1.61106559e-13	3.45200704e+02	3.45200704e+02	9.33129486e-13	1.25534260e-12	-6.02157982e-01	-5.03566235e-01
0.0015          	9.53005797e+00	1.94581793e-15	2.97991588e-03	-5.60732752e-16	-3.18995771e-02	-2.92962089e-16	4.76502899e+00	4.76502899e+00	6.79946874e-16	1.26587105e-15	-3.04096192e-02	3.33895350e-02
0.002           	8.34186916e+00	1.58638630e-15	-2.25651133e-03	-4.30555367e-16	-1.99948424e-02	-2.29457382e-16	4.17093458e+00	4.17093458e+00	5.63735769e-16	1.02265053e-15	-2.11230981e-02	1.88665868e-02
0.0025          	7.52624431e+00	1.45870452e-15	-3.07710463e-03	-3.84435002e-16	-1.18382588e-02	-1.98579219e-16	3.76312215e+00	3.76312215e+00	5.30773039e-16	9.27931478e-16	-1.33768111e-02	1.02997064e-02
0.003           	6.88716515e+00	1.37561427e-15	-4.06069756e-03	-3.54642073e-16	-6.30362004e-03	-1.76333383e-16	3.44358257e+00	3.44358257e+00	5.11473752e-16	8.64140518e-16	-8.33396882e-03	4.27327125e-03
0.0035          	6.35684322e+00	1.31005913e-15	-5.27832132e-03	-3.31029337e-16	-2.59669781e-03	-1.57872586e-16	3.17842161e+00	3.17842161e+00	4.97156980e-16	8.12902152e-16	-5.23585847e-03	-4.24628459e-05
0.004           	5.90973131e+00	1.25549293e-15	-5.58975384e-03	-3.11410168e-16	-1.58735722e-04	-1.42239667e-16	2.95486565e+00	2.95486565e+00	4.85506800e-16	7.69986134e-16	-2.95361264e-03	-2.63614120e-03
0.0045          	5.53191144e+00	1.20873612e-15	-5.94739917e-03	-2.94520470e-16	1.40208442e-03	-1.28896917e-16	2.76595572e+00	2.76595572e+00	4.75471141e-16	7.33264976e-16	-1.57161517e-03	-4.37578400e-03
0.005           	5.20919842e+00	1.16714643e-15	-5.69178055e-03	-2.79470953e-16	2.36014194e-03	-1.17290554e-16	2.60459921e+00	2.60459921e+00	4.66282659e-16	7.00863768e-16	-4.85748335e-04	-5.20603222e-03
0.0055          	4.93179288e+00	1.12990997e-15	-5.62544428e-03	-2.65948286e-16	2.90734381e-03	-1.07144513e-16	2.46589644e+00	2.46589644e+00	4.57810471e-16	6.72099498e-16	9.46216727e-05	-5.72006595e-03
