# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e-01
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.001           	1.39244703e+03	2.52049404e-12	-2.19748132e+00	-1.27726078e-12	-8.87042981e-02	1.77411994e-13	6.96223513e+02	6.96223513e+02	1.43765902e-12	1.08283503e-12	-1.18744496e+00	-1.01003636e+00
0.0015          	2.44240885e+01	3.23685356e-15	3.65948880e-03	-1.71116029e-15	-1.67993583e-02	8.54760590e-17	1.22120442e+01	1.22120442e+01	1.70390284e-15	1.53295072e-15	-1.49696139e-02	1.86291027e-02
0.002           	1.91329269e+01	2.75392496e-15	-8.77956079e-03	-1.43119261e-15	5.04475609e-03	1.07956157e-16	9.56646343e+00	9.56646343e+00	1.48491864e-15	1.26900633e-15	6.54975700e-04	-9.43453649e-03
0.0025          	1.59682113e+01	2.49353213e-15	-9.30087165e-03	-1.27999313e-15	9.92157888e-03	1.22014682e-16	7.98410564e+00	7.98410564e+00	1.36878075e-15	1.12475139e-15	5.27114306e-03	-1.45720147e-02
0.003           	1.38757548e+01	2.29536037e-15	-8.97248315e-03	-1.16798565e-15	9.54426854e-03	1.29252852e-16	6.93787739e+00	6.93787739e+00	1.27693304e-15	1.01842733e-15	5.05802696e-03	-1.40305101e-02
0.0035          	1.23980570e+01	2.13265615e-15	-8.31471259e-03	-1.07797950e-15	7.90794496e-03	1.32580151e-16	6.19902849e+00	6.19902849e+00	1.19890823e-15	9.33747923e-16	3.75058866e-03	-1.20653013e-02
0.004           	1.12999539e+01	1.99400179e-15	-7.73332219e-03	-1.00246137e-15	6.26120127e-03	1.33606547e-16	5.64997696e+00	5.64997696e+00	1.13060744e-15	8.63394345e-16	2.39454018e-03	-1.01278624e-02
0.0045          	1.04519815e+01	1.87383735e-15	-6.99877911e-03	-9.37702350e-16	4.91867017e-03	1.33302465e-16	5.22599076e+00	5.22599076e+00	1.07022114e-15	8.03616211e-16	1.41928062e-03	-8.41805972e-03
0.005           	9.77571345e+00	1.76838557e-15	-6.38910479e-03	-8.81289427e-16	3.89435458e-03	1.32251313e-16	4.88785672e+00	4.88785672e+00	1.01644410e-15	7.51941472e-16	6.99802179e-04	-7.08890697e-03
0.0055          	9.22113488e+00	1.67413655e-15	-5.93245663e-03	-8.31203413e-16	3.13047031e-03	1.30679521e-16	4.61056744e+00	4.61056744e+00	9.67747795e-16	7.06388754e-16	1.64241992e-04	-6.09669862e-03
